index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
426553,1002,4,10/04/2014,642,1,0,0,0,5043.7407
481847,448,6,06/12/2014,544,1,0,0,0,5994.2856
100496,527,2,03/09/2013,1046,1,0,0,1,8683.003
706377,255,5,12/04/2013,652,1,1,0,0,6507.2446
599169,581,5,04/07/2014,651,1,1,0,0,6230.9507
55294,185,6,05/01/2013,550,1,0,0,0,5576.5166
218737,244,6,22/11/2014,538,1,0,0,0,5084.834
266706,1082,6,05/01/2013,877,1,0,0,0,8257.788
441953,216,5,20/03/2015,837,1,1,0,0,6971.138
127184,350,4,05/03/2015,508,1,1,0,0,6096.762
312223,748,1,31/03/2014,822,1,1,0,0,9578.323
583377,718,1,08/12/2014,962,1,0,0,0,8995.901
523743,739,5,21/02/2014,789,1,1,0,0,8430.528
476775,614,7,21/12/2014,0,0,0,0,0,144.2779
620142,673,2,18/02/2014,615,1,1,0,0,6866.1016
460092,83,1,10/06/2013,367,1,0,0,0,3955.305
169260,976,3,18/09/2013,598,1,0,0,0,5000.5933
177084,637,6,06/04/2013,518,1,0,0,0,5510.3345
645354,122,2,07/01/2014,714,1,1,0,0,7397.942
645737,898,1,24/11/2014,1013,1,1,0,0,10015.912
272578,1080,4,26/06/2014,710,1,0,0,0,6557.176
600374,291,1,30/03/2015,1290,1,1,0,0,13111.33
566038,24,4,03/01/2013,711,1,0,0,1,6966.7583
381862,1096,7,18/08/2013,0,0,0,0,0,-83.20873
535335,637,5,30/05/2014,860,1,0,0,0,10289.436
499411,1002,2,02/06/2015,850,1,1,0,0,7740.261
625219,666,1,10/03/2014,497,1,0,0,0,4310.294
61823,1089,7,24/11/2013,0,0,0,0,0,16.7607
653471,334,6,31/08/2013,515,1,0,0,0,4515.208
441789,300,6,30/08/2014,951,1,0,0,1,7418.8853
155435,207,1,22/09/2014,1166,1,0,0,0,8656.738
226567,683,3,27/05/2015,854,1,0,0,0,6921.2383
107330,1094,2,14/05/2013,394,1,1,0,0,5184.403
149417,700,4,09/07/2015,576,1,0,0,0,5096.801
191690,959,2,26/08/2014,744,1,0,0,0,5738.932
146544,766,7,22/06/2014,0,0,0,0,0,-2.289006
383603,1011,6,08/06/2013,977,1,0,0,0,8420.117
452941,570,5,13/12/2013,676,1,0,0,0,5051.4194
629103,685,2,10/09/2013,689,1,1,0,0,7590.9946
30258,158,3,16/04/2014,681,1,1,0,1,8482.533
219501,66,5,29/05/2015,522,1,0,0,1,5456.7905
528607,76,2,30/07/2013,1080,1,1,0,0,11026.001
397525,572,3,16/10/2013,458,1,0,0,0,5086.998
314281,184,6,11/10/2014,510,1,0,0,0,5040.686
489418,1034,5,06/12/2013,775,1,1,0,0,7942.329
182776,559,7,11/08/2013,0,0,0,0,0,-175.67513
335928,862,2,23/12/2014,1561,1,0,0,1,13882.533
198358,171,2,11/11/2014,962,1,1,0,0,9382.421
400219,33,7,07/12/2014,0,0,0,0,0,6.4031534
427476,936,4,27/11/2014,963,1,1,0,0,8201.869
31892,948,2,18/02/2014,1682,1,1,0,0,8055.5293
109374,371,6,04/05/2013,551,1,0,0,0,6049.344
385320,242,1,05/05/2014,378,1,1,0,0,4586.7534
517169,133,5,17/01/2014,622,1,0,0,0,5789.834
369733,1031,1,15/12/2014,681,1,1,0,0,8303.954
71343,850,4,07/02/2013,710,1,1,0,0,6712.7046
42363,860,5,05/06/2015,833,1,1,0,0,7451.746
612665,836,6,06/07/2013,301,1,0,0,0,2609.143
428563,965,6,30/11/2013,908,1,0,0,0,8043.9697
610249,1096,1,26/01/2015,763,1,1,0,0,7309.6895
669222,504,3,03/09/2014,836,1,1,0,1,7829.7026
484348,230,1,30/12/2013,1327,1,0,0,1,13103.179
194089,826,1,02/12/2013,1170,1,1,0,0,14207.564
328888,975,2,30/07/2013,767,1,1,0,1,8232.873
485880,602,2,28/10/2014,547,1,0,0,1,5502.9697
699868,953,5,19/09/2014,553,1,1,0,0,5833.478
265929,187,6,02/11/2013,491,1,0,0,0,5150.9463
154648,792,5,18/10/2013,599,1,0,0,0,5339.98
376328,1035,4,27/11/2014,744,1,1,0,0,6867.5776
530275,523,3,29/07/2015,1515,1,1,0,1,13332.565
441109,723,4,04/04/2013,461,1,0,0,1,4637.7593
26050,1025,7,26/05/2013,0,0,0,0,0,-20.754107
247671,18,7,04/01/2015,0,0,0,0,0,-76.631676
615467,997,3,03/09/2014,378,1,1,0,1,4717.362
267972,400,6,05/10/2013,805,1,0,0,0,6785.87
22318,1047,2,09/07/2013,491,1,0,0,0,5172.116
430083,819,1,02/09/2013,472,1,0,0,0,4708.011
510014,668,1,02/06/2014,1562,1,1,0,0,13056.655
343803,585,4,22/01/2015,666,1,0,0,0,5587.581
85161,99,1,10/03/2014,404,1,0,0,0,4089.3623
505852,965,6,22/11/2014,847,1,0,0,0,7527.7324
266131,590,4,21/02/2013,376,1,1,0,0,4148.332
397091,709,2,02/06/2015,1682,1,1,0,0,13535.636
112013,58,7,20/10/2013,0,0,0,0,0,-106.38819
492019,409,7,09/02/2014,0,0,0,0,0,178.18567
73240,850,6,04/04/2015,826,1,0,0,0,7161.7744
203948,1058,3,06/03/2013,737,1,1,0,0,7625.6167
603210,1067,7,13/04/2014,0,0,0,0,0,111.83609
82813,777,1,21/04/2014,0,0,0,b,1,-22.237873
634511,155,3,21/05/2014,632,1,1,0,0,7194.846
28171,598,1,29/06/2015,871,1,1,0,0,9279.006
198571,493,2,01/07/2014,902,1,1,0,0,8975.101
70073,628,7,03/08/2014,0,0,0,0,1,-59.385242
551321,524,1,30/12/2013,1193,1,0,0,1,12101.79
509286,966,4,04/04/2013,585,1,0,0,1,4460.0034
24413,1022,5,27/12/2013,791,1,0,0,1,7682.3784
367168,380,3,05/03/2014,1720,1,1,0,0,18428.389
103724,132,3,14/01/2015,579,1,1,0,0,6068.505
704886,400,5,26/06/2015,999,1,0,0,0,7768.701
568270,988,4,29/08/2013,790,1,1,0,0,6441.38
627934,906,2,19/03/2013,1476,1,1,0,0,13122.989
520091,1028,2,05/11/2013,689,1,1,0,0,6542.746
505933,1100,6,23/03/2013,484,1,0,0,0,3771.6736
67603,759,1,14/01/2013,607,1,0,0,0,4396.8516
96570,223,1,27/10/2014,716,1,0,0,0,5500.807
696883,936,7,15/03/2015,0,0,0,0,0,-79.69169
216455,780,6,11/07/2015,341,1,0,0,0,3089.182
472114,259,5,28/11/2014,2677,1,1,0,0,17728.633
437836,131,6,09/11/2013,582,1,0,0,0,5733.123
467331,251,3,28/01/2015,2241,1,1,0,0,17889.598
423483,1079,6,17/01/2015,517,1,0,0,0,5528.029
533535,1003,3,05/03/2014,1029,1,1,0,0,8209.637
82465,980,4,05/09/2013,450,1,0,0,0,4728.6104
245480,654,2,27/01/2015,766,1,1,0,0,7734.177
155723,966,4,25/07/2013,517,1,0,0,1,4033.1235
167485,1020,1,22/09/2014,929,1,0,0,0,7269.57
574217,969,3,19/03/2014,610,1,1,0,0,4895.901
307718,1038,2,07/04/2015,490,1,0,0,1,4706.1797
250666,516,3,09/07/2014,453,1,0,0,1,4168.8486
233447,733,1,14/01/2013,3171,1,0,0,0,13699.662
9408,595,6,31/05/2014,1881,1,0,0,0,15027.119
532318,260,3,16/07/2014,962,1,1,0,1,9203.277
213221,768,6,02/02/2013,1251,1,0,0,0,10999.994
149118,940,1,14/01/2013,627,1,0,0,0,5955.3745
643815,364,4,27/06/2013,563,1,0,0,0,4405.2446
205464,506,3,22/07/2015,763,1,0,0,1,6449.096
172737,671,3,29/05/2013,507,1,1,0,1,6140.9565
358803,300,6,24/01/2015,862,1,0,0,0,7136.8276
432064,84,2,17/06/2014,1563,1,1,0,0,15694.768
243176,219,4,07/05/2015,455,1,1,0,0,4578.2544
165487,934,5,22/03/2013,764,1,1,0,0,7301.6104
206630,125,3,01/04/2015,1906,1,1,0,1,15426.783
380228,176,3,04/12/2013,757,1,1,0,0,7831.739
278339,223,2,26/11/2013,675,1,0,0,0,5359.6646
125602,326,1,14/07/2014,429,1,1,0,0,5483.718
707930,339,2,27/08/2013,745,1,1,0,0,7436.2417
647013,872,3,08/04/2015,659,1,0,0,1,5831.469
404917,579,7,23/11/2014,0,0,0,0,0,-16.28117
607690,974,5,28/02/2014,1599,1,0,0,0,10898.107
63394,979,7,12/04/2015,0,0,0,0,0,-43.221832
334403,880,3,04/06/2014,806,1,1,0,0,7312.729
440195,910,7,31/03/2013,0,0,0,0,0,-11.730081
87636,1084,6,04/07/2015,614,1,0,0,0,5618.626
189540,92,5,12/06/2015,453,1,0,0,0,4515.4893
18218,14,6,20/06/2015,402,1,0,0,0,3440.777
396021,587,1,30/12/2013,960,1,0,0,1,8916.318
442052,230,4,24/10/2013,856,1,1,0,0,8044.3213
397202,689,6,15/03/2014,589,1,0,0,0,5968.79
251121,599,1,13/05/2013,1096,1,1,0,0,11043.443
463013,596,7,22/12/2013,0,0,0,0,0,-80.802826
655331,576,1,11/03/2013,749,1,0,0,0,5979.823
327407,141,4,26/06/2014,493,1,0,0,0,4605.5127
355157,751,1,21/04/2014,0,0,0,b,1,42.62083
654124,877,5,01/03/2013,925,1,0,0,0,7691.438
602473,375,2,23/04/2013,948,1,1,0,0,8933.035
414480,230,1,08/12/2014,988,1,0,0,0,8679.079
574764,545,3,22/01/2014,1087,1,1,0,0,10986.676
136740,1022,1,04/03/2013,1093,1,1,0,0,10910.974
240843,597,3,20/08/2014,756,1,1,0,1,7197.986
130323,559,7,08/06/2014,0,0,0,0,0,-158.10458
688030,1024,6,18/07/2015,825,1,0,0,0,6538.482
43133,36,2,17/03/2015,1205,1,1,0,0,10782.076
172856,702,2,28/05/2013,351,1,1,0,1,4050.4126
446048,623,7,10/02/2013,0,0,0,0,0,35.565712
36534,105,4,17/10/2013,483,1,0,0,0,4277.7114
612801,902,2,19/11/2013,648,1,1,0,0,6933.935
256750,11,6,11/04/2015,786,1,0,0,0,6466.667
623446,1039,5,28/06/2013,629,1,0,0,0,5726.7207
63314,102,1,16/02/2015,1174,1,1,0,0,10373.115
238452,543,5,18/10/2013,175,1,0,0,1,1686.4863
43919,827,4,02/01/2014,1910,1,0,0,1,13289.851
258378,110,3,08/10/2014,647,1,1,0,0,6331.135
59774,945,1,05/01/2015,698,1,1,0,1,6868.396
31637,582,3,12/03/2014,749,1,0,0,0,5663.6665
673741,554,4,16/01/2014,428,1,0,0,0,3853.6145
659942,486,2,08/07/2014,384,1,0,0,1,3686.1772
349639,637,6,15/02/2014,520,1,0,0,0,5663.7593
394865,806,5,31/01/2014,578,1,0,0,0,6490.3584
255648,887,6,21/06/2014,462,1,0,0,0,4660.955
379128,374,6,04/04/2015,668,1,0,0,0,7272.599
540897,1025,5,04/01/2013,804,1,0,0,1,6246.1016
662220,638,2,06/08/2013,431,1,0,0,1,4249.644
160268,123,6,09/05/2015,490,1,0,0,0,4881.3657
654290,905,4,19/02/2015,1108,1,1,0,0,9218.087
599039,536,5,05/04/2013,989,1,0,0,1,8825.883
651027,763,7,01/02/2015,0,0,0,0,0,31.804459
553569,191,6,10/08/2013,694,1,0,0,0,6446.043
271750,957,4,20/02/2014,948,1,1,0,0,7978.9297
709864,268,4,04/06/2015,618,1,1,0,0,5765.0146
300796,654,6,07/09/2013,266,1,0,0,0,2393.377
413674,612,6,07/09/2013,388,1,0,0,0,3976.8394
8402,747,3,27/08/2014,567,1,0,0,1,5312.238
310059,656,6,18/05/2013,380,1,0,0,0,3445.318
319105,368,5,05/04/2013,592,1,0,0,1,6181.7466
689752,959,3,18/09/2013,552,1,0,0,0,4673.3535
516276,329,2,03/02/2015,708,1,1,0,0,7140.2656
338342,97,3,22/07/2015,535,1,0,0,1,5024.1445
666229,314,2,13/08/2013,661,1,1,0,1,7030.2056
8353,463,7,11/01/2015,0,0,0,0,0,14.275187
386012,258,1,20/05/2013,0,0,0,a,0,-39.63642
471619,283,3,13/11/2013,621,1,0,0,0,5662.558
612347,556,1,15/04/2013,754,1,0,0,0,5592.396
514445,388,5,24/01/2014,1211,1,1,0,0,11308.436
396179,67,3,03/09/2014,837,1,1,0,1,8359.689
590638,725,5,16/01/2015,677,1,1,0,0,6859.0146
683448,219,4,06/06/2013,416,1,1,0,0,4069.8623
218062,1077,2,10/02/2015,479,1,0,0,0,4052.7434
706606,322,4,23/05/2013,589,1,0,0,0,5586.2456
453487,814,3,20/02/2013,581,1,1,0,1,6145.8022
240904,134,7,30/06/2013,0,0,0,0,0,-21.939508
326681,54,4,11/07/2013,657,1,0,0,0,6281.161
272937,662,5,26/04/2013,854,1,1,0,0,8073.772
11415,126,7,19/04/2015,0,0,0,0,0,-28.133894
436957,1001,6,30/11/2013,471,1,0,0,0,4699.783
171033,657,4,13/02/2014,598,1,0,0,0,5151.809
632521,590,4,14/03/2013,319,1,0,0,0,3193.4253
179002,193,3,25/12/2013,0,0,0,c,1,230.73227
345971,168,6,21/09/2013,465,1,0,0,0,4315.0913
463457,16,1,22/07/2013,839,1,0,0,0,6611.137
674866,244,1,04/02/2013,738,1,1,0,0,7797.3447
479231,545,7,08/02/2015,0,0,0,0,0,44.52765
369184,1032,6,19/01/2013,492,1,0,0,0,4805.0576
564608,290,5,31/05/2013,987,1,1,0,0,8719.392
421305,548,4,24/01/2013,335,1,1,0,0,4205.464
312789,733,1,04/08/2014,3508,1,1,0,1,16358.497
548456,654,4,06/06/2013,716,1,1,0,0,7153.1133
195259,272,6,04/05/2013,377,1,0,0,0,3610.6267
669573,1017,3,20/03/2013,1176,1,1,0,0,9689.977
599293,708,2,20/05/2014,462,1,1,0,0,5316.5903
33900,819,4,08/01/2015,454,1,1,0,0,5315.78
74619,99,3,26/06/2013,372,1,0,0,0,3775.8625
284898,982,2,10/12/2013,710,1,0,0,0,7127.0396
402135,683,5,03/04/2015,0,0,1,b,1,-282.3353
447277,194,3,16/10/2013,373,1,0,0,0,3810.5725
588164,853,2,30/06/2015,1201,1,1,0,0,10498.191
456931,53,1,28/04/2014,650,1,1,0,1,7912.304
221701,281,4,07/02/2013,508,1,1,0,0,5538.9155
535271,101,2,02/09/2014,879,1,1,0,0,7754.7637
171677,440,5,05/06/2015,769,1,1,0,1,7801.2144
226127,994,2,18/03/2014,435,1,1,0,0,5203.3765
414979,168,2,30/07/2013,930,1,1,0,1,9487.895
500051,48,7,27/10/2013,0,0,0,0,0,-29.166464
329177,652,6,15/02/2014,501,1,0,0,0,4832.0576
541113,934,6,11/01/2014,474,1,0,0,0,4572.764
124681,223,6,29/03/2014,589,1,0,0,0,5366.8457
284177,378,5,26/12/2014,0,0,0,c,1,-31.573751
90749,865,3,17/07/2013,624,1,1,0,0,6136.75
237894,466,5,31/01/2014,861,1,0,0,0,6996.286
506152,789,5,14/02/2014,546,1,0,0,0,4828.9297
622882,61,7,07/06/2015,0,0,0,0,0,-60.524464
34430,765,4,19/12/2013,1068,1,1,0,0,12713.828
268594,673,1,23/02/2015,500,1,0,0,0,4622.023
368485,258,3,25/06/2014,444,1,0,0,0,4220.5176
602478,740,3,08/10/2014,499,1,1,0,0,6448.204
202788,1080,1,16/09/2013,764,1,0,0,0,6703.025
675955,918,5,20/06/2014,661,1,1,0,0,6373.692
611958,857,6,22/06/2013,1004,1,0,0,0,7920.2363
597571,837,1,01/07/2013,482,1,1,0,0,4827.2515
317074,516,7,01/03/2015,0,0,0,0,0,-51.659
380943,446,2,27/05/2014,505,1,0,0,0,4335.292
649251,835,4,30/05/2013,0,0,1,a,0,151.98814
386136,140,7,03/02/2013,0,0,0,0,0,67.23432
411910,207,3,14/08/2013,1584,1,1,0,0,13812.955
119756,961,4,29/01/2015,668,1,1,0,0,6305.1226
251963,772,2,18/03/2014,507,1,1,0,0,5407.477
292719,1089,2,02/09/2014,1050,1,1,0,0,10447.309
77065,521,3,05/03/2014,421,1,1,0,0,4919.41
206967,823,5,17/01/2014,600,1,0,0,0,5374.0127
521339,436,6,14/09/2013,426,1,0,0,0,3858.1467
363365,483,7,09/03/2014,0,0,0,0,0,-57.961094
481077,215,2,25/03/2014,333,1,0,0,0,3037.6333
711386,109,5,29/05/2015,802,1,0,0,0,7601.5005
66970,858,1,16/12/2013,590,1,1,0,0,6843.508
435729,425,4,05/03/2015,501,1,1,0,0,4605.2046
426284,357,5,24/07/2015,905,1,0,0,1,7932.924
435236,255,1,02/02/2015,575,1,1,0,0,6649.796
199039,798,6,07/02/2015,343,1,0,0,0,3081.5276
99250,366,6,23/03/2013,304,1,0,0,0,3249.9536
580140,534,2,07/04/2015,510,1,0,0,1,4784.965
254820,179,5,20/06/2014,1176,1,1,0,0,10576.692
155130,258,2,03/09/2013,464,1,0,0,1,4272.967
503682,693,5,29/08/2014,384,1,0,0,1,3876.3804
288534,999,4,24/10/2013,685,1,1,0,1,7105.4673
67050,834,6,19/04/2014,492,1,0,0,0,4739.468
174771,512,4,31/10/2013,1410,1,0,0,1,7867.275
442288,818,2,23/04/2013,662,1,1,0,0,7138.025
606734,534,6,12/10/2013,606,1,0,0,0,5642.9775
431156,1084,2,17/12/2013,1099,1,1,0,0,11371.111
424121,34,2,10/03/2015,861,1,0,0,0,6941.9844
557753,101,4,27/03/2014,686,1,0,0,0,5781.109
520831,187,1,02/03/2015,885,1,1,0,0,9542.898
376589,20,1,23/09/2013,1041,1,1,0,0,10591.996
7670,828,7,26/10/2014,0,0,0,0,0,74.40938
303546,434,1,12/08/2013,823,1,1,0,1,9672.1045
236740,738,1,04/05/2015,864,1,1,0,0,9833.819
145734,351,5,07/03/2014,569,1,1,0,0,6652.417
134420,1020,4,30/01/2014,905,1,0,0,0,7093.9004
691699,86,7,11/08/2013,0,0,0,0,0,-87.101585
233889,266,3,17/06/2015,573,1,1,0,0,5741.0557
653554,608,5,20/06/2014,1024,1,1,0,0,9860.12
481046,708,5,21/02/2014,493,1,1,0,1,5364.0044
423103,734,3,05/02/2014,605,1,1,0,0,6388.6616
693486,776,7,07/06/2015,0,0,0,0,0,-16.734966
90193,1060,2,09/04/2013,853,1,1,0,0,8504.257
119482,182,2,29/04/2014,507,1,1,0,0,6028.053
525167,542,3,16/01/2013,431,1,0,0,0,4795.3457
239754,602,1,06/05/2013,610,1,0,0,0,6078.3164
332806,101,4,07/11/2013,777,1,1,0,0,7411.7026
142056,784,7,30/06/2013,0,0,0,0,0,-36.94003
673000,679,7,17/11/2013,0,0,0,0,0,113.809784
567353,535,4,14/08/2014,793,1,0,0,1,6707.228
696641,844,4,06/02/2014,516,1,1,0,0,4947.7285
628766,595,7,24/05/2015,0,0,0,0,0,-94.128456
544695,25,6,30/03/2013,1831,1,0,0,0,13218.165
652921,416,3,03/12/2014,1819,1,1,0,0,15667.169
436682,539,4,22/01/2015,966,1,0,0,0,8105.2544
158580,77,3,28/08/2013,642,1,1,0,0,6296.8154
184394,641,2,09/07/2013,493,1,0,0,0,4364.995
523534,445,6,10/01/2015,1201,1,0,0,0,9022.117
133026,318,5,03/05/2013,822,1,1,0,0,8745.701
296285,394,3,13/11/2013,539,1,0,0,0,5342.394
14477,761,5,07/02/2014,1014,1,1,0,1,8631.113
130799,706,2,28/07/2015,578,1,1,0,0,6690.122
17306,41,5,28/02/2014,433,1,0,0,0,4744.007
617975,894,1,07/07/2014,958,1,0,0,1,7344.2295
668657,169,6,03/05/2014,801,1,0,0,0,7263.303
460228,1012,1,09/06/2014,0,0,0,a,0,84.03644
26534,310,4,29/08/2013,868,1,1,0,0,9004.201
8504,1003,3,22/01/2014,847,1,1,0,0,7087.4917
253700,970,3,28/08/2013,429,1,1,0,0,3462.5647
586553,239,5,27/09/2013,627,1,1,0,0,5268.6714
463307,998,1,16/03/2015,647,1,1,0,0,7587.047
245670,278,5,14/06/2013,692,1,0,0,0,6646.8687
291128,49,2,26/05/2015,539,1,0,0,1,6816.33
615053,603,3,28/08/2013,0,0,1,0,1,358.77066
263461,658,2,30/04/2013,824,1,1,0,0,8339.727
42414,1072,3,06/02/2013,786,1,1,0,0,7204.24
527688,1028,2,22/10/2013,587,1,1,0,1,6025.342
697845,288,4,18/06/2015,489,1,1,0,0,5857.3
28136,111,1,30/03/2015,838,1,1,0,1,9344.752
245444,581,2,14/07/2015,703,1,1,0,0,7046.992
394116,979,7,12/05/2013,0,0,0,0,0,-28.91237
601504,644,7,22/02/2015,0,0,0,0,0,-115.515594
349857,589,1,03/06/2013,577,1,1,0,0,6819.966
658989,295,2,25/02/2014,619,1,0,0,0,4786.9224
73913,388,1,18/02/2013,1586,1,1,0,0,16007.057
579219,9,6,04/10/2014,621,1,0,0,0,5566.7637
628094,445,4,29/08/2013,1381,1,1,0,1,10562.938
430442,204,4,05/09/2013,445,1,0,0,1,4298.292
694123,296,1,06/10/2014,1011,1,1,0,0,9560.375
637678,497,7,24/05/2015,0,0,0,0,0,284.29803
697006,481,1,18/02/2013,523,1,1,0,0,6119.1597
174454,1100,6,06/12/2014,569,1,0,0,0,4632.0835
290329,588,6,14/12/2013,614,1,0,0,0,5940.007
79977,290,2,07/01/2014,918,1,1,0,1,8501.453
